Munkamenet;Ár Ft/nm (2023);Ár Ft/nm (2024)
Szárazépítés;1296,997296;1373,520137
Burkolás;25459,51331;26961,62459
Fa-és műanyag nyílászárók (külső-belső);17310,37427;18331,68635
Bejárati ajtók;3287,320336;3481,272236
Felületképzés;7002,988473;7416,164793
Konyhabútor, beépített szekrény;5080,404155;5380,148001
Elektromosság;13185,14302;13963,06646
Épületautomatika (csengő, kaputelefon;936,3882169;991,6351217
Vízhálózat cseréje;1494,236516;1582,396471
Gépészeti szerelvények (fütési rendszer, szaniterek);5178,596841;5484,134054
Szárazépítés;1802,824702;1909,19136
Burkolás;21141,51205;22388,86126
Fa-és műanyag nyílászárók (külső-belső);12744,39214;13496,31127
Bejárati ajtók;6397,119911;6774,549986
Felületképzés;6145,112157;6507,673775
Konyhabútor, beépített szekrény;6784,824148;7185,128773
Elektromosság;20676,26696;21896,16671
Épületautomatika (csengő, kaputelefon;1822,209914;1929,720299
Vízhálózat cseréje;2907,781778;3079,340903
Gépészeti szerelvények (fütési rendszer, szaniterek);10077,54085;10672,11576
Szárazépítés;1164,996484;1233,731276
Burkolás;18380,85443;19465,32484
Fa-és műanyag nyílászárók (külső-belső);19477,91842;20627,11561
Bejárati ajtók;6843,35443;7247,112342
Felületképzés;7481,979606;7923,416403
Konyhabútor, beépített szekrény;7577,355837;8024,419831
Elektromosság;12804,76442;13560,24552
Épületautomatika (csengő, kaputelefon;1198,136428;1268,826477
Vízhálózat cseréje;1911,919831;2024,723101
Gépészeti szerelvények (fütési rendszer, szaniterek);9042,035865;9575,515981
Szárazépítés;859,1389728;909,8281722
Burkolás;10273,39502;10879,52532
Fa-és műanyag nyílászárók (külső-belső);16795,69486;17786,64086
Bejárati ajtók;4361,782477;4619,127644
Felületképzés;9318,353474;9868,136329
Konyhabútor, beépített szekrény;2511,329305;2659,497734
Elektromosság;16455,81571;17426,70884
Épületautomatika (csengő, kaputelefon;1242,44713;1315,751511
Vízhálózat cseréje;1982,628399;2099,603474
Gépészeti szerelvények (fütési rendszer, szaniterek);6871,223565;7276,625755
Szárazépítés;1733,66697;1835,953321
Burkolás;27043,53048;28639,09878
Fa-és műanyag nyílászárók (külső-belső);6348,11647;6722,655341
Bejárati ajtók;7083,712466;7501,651501
Felületképzés;6867,388535;7272,564459
Konyhabútor, beépített szekrény;6274,795268;6645,008189
Elektromosság;15668,97179;16593,44113
Épületautomatika (csengő, kaputelefon;1240,21838;1313,391265
Vízhálózat cseréje;1910,828025;2023,566879
Gépészeti szerelvények (fütési rendszer, szaniterek);9729,044586;10303,05822
Szárazépítés;1700,85699;1801,207552
Burkolás;8005,070523;8477,369684
Fa-és műanyag nyílászárók (külső-belső);0;0
Bejárati ajtók;3124,442064;3308,784146
Felületképzés;6174,361721;6538,649063
Konyhabútor, beépített szekrény;3035,172291;3214,247456
Elektromosság;15475,98643;16389,06963
Épületautomatika (csengő, kaputelefon;1216,747009;1288,535083
Vízhálózat cseréje;1941,617568;2056,173005
Gépészeti szerelvények (fütési rendszer, szaniterek);6697,214783;7092,350455
Szárazépítés;1047,999367;1109,83133
Burkolás;27999,84185;29651,83252
Fa-és műanyag nyílászárók (külső-belső);35158,26348;37232,60103
Bejárati ajtók;6156,096789;6519,3065
Felületképzés;6386,60446;6763,414123
Konyhabútor, beépített szekrény;6005,851653;6360,1969
Elektromosság;14889,84659;15768,34754
Épületautomatika (csengő, kaputelefon;1077,811166;1141,402024
Vízhálózat cseréje;1719,911434;1821,386209
Gépészeti szerelvények (fütési rendszer, szaniterek);8455,021351;8953,86761
Szárazépítés;1346,184231;1425,609101
Burkolás;12466,4244;13201,94343
Fa-és műanyag nyílászárók (külső-belső);29625,53326;31373,43972
Bejárati ajtók;3381,260863;3580,755254
Felületképzés;11692,21046;12382,05088
Konyhabútor, beépített szekrény;7236,530258;7663,485543
Elektromosság;11455,20619;12131,06336
Épületautomatika (csengő, kaputelefon;1659,029863;1756,912624
Vízhálózat cseréje;4503,081055;4768,762838
Gépészeti szerelvények (fütési rendszer, szaniterek);9688,734397;10260,36973
Szárazépítés;1611,804767;1706,901249
Burkolás;11388,57359;12060,49943
Fa-és műanyag nyílászárók (külső-belső);18637,91146;19737,54824
Bejárati ajtók;3499,810821;3706,299659
Felületképzés;5703,745743;6040,266742
Konyhabútor, beépített szekrény;6053,726826;6410,896708
Elektromosság;11379,11464;12050,48241
Épületautomatika (csengő, kaputelefon;1986,379115;2103,575482
Vízhálózat cseréje;5391,600454;5709,704881
Gépészeti szerelvények (fütési rendszer, szaniterek);10824,82028;11463,48468
Szárazépítés;1374,633431;1455,736804
Burkolás;11400,29326;12072,91056
Fa-és műanyag nyílászárók (külső-belső);0;0
Bejárati ajtók;3390,762463;3590,817449
Felületképzés;5956,744868;6308,192815
Konyhabútor, beépített szekrény;6378,29912;6754,618768
Elektromosság;11253,66569;11917,63196
Épületautomatika (csengő, kaputelefon;1924,486804;2038,031525
Vízhálózat cseréje;5223,607038;5531,799853
Gépészeti szerelvények (fütési rendszer, szaniterek);10487,53666;11106,30132
Szárazépítés;1588,070829;1681,767008
Burkolás;11109,04007;11764,47344
Fa-és műanyag nyílászárók (külső-belső);14836,90587;15712,28332
Bejárati ajtók;3448,275862;3651,724138
Felületképzés;6374,650513;6750,754893
Konyhabútor, beépített szekrény;5498,60205;5823,019571
Elektromosság;11211,55638;11873,03821
Épületautomatika (csengő, kaputelefon;1957,129543;2072,600186
Vízhálózat cseréje;5312,20876;5625,629077
Gépészeti szerelvények (fütési rendszer, szaniterek);11261,88257;11926,33364
Szárazépítés;1292,083712;1368,316652
Burkolás;6369,426752;6745,22293
Fa-és műanyag nyílászárók (külső-belső);20576,28147;21790,28207
Bejárati ajtók;2805,580831;2971,1101
Felületképzés;6445,253261;6825,523203
Konyhabútor, beépített szekrény;6339,096148;6713,102821
Elektromosság;11343,64574;12012,92084
Épületautomatika (csengő, kaputelefon;1592,356688;1686,305732
Vízhálózat cseréje;4761,904762;5042,857143
Gépészeti szerelvények (fütési rendszer, szaniterek);8677,585684;9189,563239
Szárazépítés;1510,906189;1600,049654
Burkolás;12626,35219;13371,30697
Fa-és műanyag nyílászárók (külső-belső);5639,297748;5972,016315
Bejárati ajtók;5763,433233;6103,475794
Felületképzés;6862,918957;7267,831176
Konyhabútor, beépített szekrény;5674,765029;6009,576166
Elektromosság;11544,60011;12225,73151
Épületautomatika (csengő, kaputelefon;1862,032275;1971,892179
Vízhálózat cseréje;5816,634155;6159,81557
Gépészeti szerelvények (fütési rendszer, szaniterek);8373,825146;8867,88083
Szárazépítés;1332,290852;1410,896013
Burkolás;12197,02893;12916,65364
Fa-és műanyag nyílászárók (külső-belső);21970,28929;23266,53636
Bejárati ajtók;2892,885066;3063,565285
Felületképzés;6176,700547;6541,12588
Konyhabútor, beépített szekrény;5003,909304;5299,139953
Elektromosság;11118,06099;11774,02658
Épületautomatika (csengő, kaputelefon;1641,90774;1738,780297
Vízhálózat cseréje;4456,606724;4719,546521
Gépészeti szerelvények (fütési rendszer, szaniterek);9448,006255;10005,43862
Szárazépítés;1397,098334;1479,527136
Burkolás;11391,72488;12063,83665
Fa-és műanyag nyílászárók (külső-belső);18359,30503;19442,50403
Bejárati ajtók;3313,630665;3509,134874
Felületképzés;5731,685474;6069,854917
Konyhabútor, beépített szekrény;5731,685474;6069,854917
Elektromosság;11391,72488;12063,83665
Épületautomatika (csengő, kaputelefon;1880,709296;1991,671145
Vízhálózat cseréje;5104,782375;5405,964535
Gépészeti szerelvények (fütési rendszer, szaniterek);10248,97009;10853,65932
Szárazépítés;1510,1028;1599,198866
Burkolás;10492,73307;11111,80432
Fa-és műanyag nyílászárók (külső-belső);17609,0039;18647,93513
Bejárati ajtók;3278,979085;3472,438851
Felületképzés;5343,849699;5659,136831
Konyhabútor, beépített szekrény;5671,747607;6006,380716
Elektromosság;10439,56044;11055,49451
Épületautomatika (csengő, kaputelefon;1861,042184;1970,843672
Vízhálózat cseréje;5051,400213;5349,432825
Gépészeti szerelvények (fütési rendszer, szaniterek);10141,79369;10740,15952
Szárazépítés;718,9395641;761,3569984
Burkolás;8762,075938;9279,038418
Fa-és műanyag nyílászárók (külső-belső);11682,76792;12372,05122
Bejárati ajtók;4156,369355;4401,595147
Felületképzés;4515,839137;4782,273646
Konyhabútor, beépített szekrény;7189,395641;7613,569984
Elektromosság;8919,343968;9445,585262
Épületautomatika (csengő, kaputelefon;2359,020445;2498,202651
Vízhálózat cseréje;6403,055493;6780,835767
Gépészeti szerelvények (fütési rendszer, szaniterek);9009,211413;9540,754887
Szárazépítés;1491,074554;1579,047952
Burkolás;11463,07315;12139,39447
Fa-és műanyag nyílászárók (külső-belső);6125,306265;6486,699335
Bejárati ajtók;3237,661883;3428,683934
Felületképzés;6212,810641;6579,366468
Konyhabútor, beépített szekrény;6562,828141;6950,035002
Elektromosság;11410,57053;12083,79419
Épületautomatika (csengő, kaputelefon;1837,59188;1946,0098
Vízhálózat cseréje;4987,749387;5282,026601
Gépészeti szerelvények (fütési rendszer, szaniterek);10014,0007;10604,82674
Szárazépítés;1485,09674;1572,717448
Burkolás;10493,28918;11112,39324
Fa-és műanyag nyílászárók (külső-belső);15461,04236;16373,24386
Bejárati ajtók;6675,963047;7069,844867
Felületképzés;5455,813143;5777,706118
Konyhabútor, beépített szekrény;5577,828133;5906,919993
Elektromosság;10484,57382;11103,16367
Épületautomatika (csengő, kaputelefon;1830,224856;1938,208123
Vízhálózat cseréje;4967,753181;5260,850619
Gépészeti szerelvények (fütési rendszer, szaniterek);9973,853931;10562,31131
Szárazépítés;913,502712;967,399372
Burkolás;11133,3143;11790,17985
Fa-és műanyag nyílászárók (külső-belső);14844,41907;15720,23979
Bejárati ajtók;5281,187554;5592,777619
Felületképzés;5737,93891;6076,477305
Konyhabútor, beépített szekrény;9135,02712;9673,99372
Elektromosság;11333,14302;12001,79846
Épületautomatika (csengő, kaputelefon;2997,430774;3174,279189
Vízhálózat cseréje;8135,883528;8615,900657
Gépészeti szerelvények (fütési rendszer, szaniterek);11447,33086;12122,72338
Szárazépítés;441,9933031;468,070908
Burkolás;9944,84932;10531,59543
Fa-és műanyag nyílászárók (külső-belső);8287,374434;8776,329525
Bejárati ajtók;3425,448099;3627,549537
Felületképzés;12154,81584;12871,94997
Konyhabútor, beépített szekrény;10497,34095;11116,68407
Elektromosság;19889,69864;21063,19086
Épületautomatika (csengő, kaputelefon;1657,474887;1755,265905
Vízhálózat cseréje;1325,979909;1404,212724
Gépészeti szerelvények (fütési rendszer, szaniterek);7734,882805;8191,24089
Szárazépítés;429,7615628;455,117495
Burkolás;9669,635162;10240,14364
Fa-és műanyag nyílászárók (külső-belső);8058,029302;8533,453031
Bejárati ajtók;3330,652111;3527,160586
Felületképzés;11818,44298;12515,73111
Konyhabútor, beépített szekrény;10206,83712;10809,04051
Elektromosság;19339,27032;20480,28727
Épületautomatika (csengő, kaputelefon;1611,60586;1706,690606
Vízhálózat cseréje;1289,284688;1365,352485
Gépészeti szerelvények (fütési rendszer, szaniterek);7520,827348;7964,556162
Szárazépítés;437,6381434;463,4587938
Burkolás;9846,858225;10427,82286
Fa-és műanyag nyílászárók (külső-belső);8205,715188;8689,852384
Bejárati ajtók;3391,695611;3591,805652
Felületképzés;12035,04894;12745,11683
Konyhabútor, beépített szekrény;10393,9059;11007,14635
Elektromosság;17903,37859;18959,67793
Épületautomatika (csengő, kaputelefon;1641,143038;1737,970477
Vízhálózat cseréje;1312,91443;1390,376381
Gépészeti szerelvények (fütési rendszer, szaniterek);7658,667509;8110,528892
Szárazépítés;442,3698384;468,4696589
Burkolás;9953,321364;10540,56732
Fa-és műanyag nyílászárók (külső-belső);8294,43447;8783,806104
Bejárati ajtók;5403,231598;5722,022262
Felületképzés;12165,17056;12882,91562
Konyhabútor, beépített szekrény;10506,28366;11126,1544
Elektromosság;19906,64273;21081,13465
Épületautomatika (csengő, kaputelefon;1658,886894;1756,761221
Vízhálózat cseréje;1327,109515;1405,408977
Gépészeti szerelvények (fütési rendszer, szaniterek);7741,472172;8198,219031
Szárazépítés;441,7670683;467,8313253
Burkolás;9939,759036;10526,20482
Fa-és műanyag nyílászárók (külső-belső);8283,13253;8771,837349
Bejárati ajtók;3423,694779;3625,692771
Felületképzés;12148,59438;12865,36145
Konyhabútor, beépített szekrény;10491,96787;11110,99398
Elektromosság;19879,51807;21052,40964
Épületautomatika (csengő, kaputelefon;1656,626506;1754,36747
Vízhálózat cseréje;1325,301205;1403,493976
Gépészeti szerelvények (fütési rendszer, szaniterek);7730,923695;8187,048193
Szárazépítés;440,665155;466,6643991
Burkolás;9914,965986;10499,94898
Fa-és műanyag nyílászárók (külső-belső);8262,471655;8749,957483
Bejárati ajtók;3415,154951;3616,649093
Felületképzés;12118,29176;12833,27098
Konyhabútor, beépített szekrény;10465,79743;11083,27948
Elektromosság;0;0
Épületautomatika (csengő, kaputelefon;1652,494331;1749,991497
Vízhálózat cseréje;1321,995465;1399,993197
Gépészeti szerelvények (fütési rendszer, szaniterek);7566,137566;8012,539683
Szárazépítés;1289,736603;1365,831063
Burkolás;12034,51408;12744,55041
Fa-és műanyag nyílászárók (külső-belső);23312,14048;24687,55677
Bejárati ajtók;2800,484408;2965,712988
Felületképzés;6039,963669;6396,321526
Konyhabútor, beépített szekrény;5298,213745;5610,808356
Elektromosság;12019,37632;12728,51953
Épületautomatika (csengő, kaputelefon;1589,464124;1683,242507
Vízhálózat cseréje;4753,254617;5033,696639
Gépészeti szerelvények (fütési rendszer, szaniterek);9282,470481;9830,13624
Szárazépítés;1731,707317;1833,878049
Burkolás;11178,86179;11838,41463
Fa-és műanyag nyílászárók (külső-belső);15691,05691;16616,82927
Bejárati ajtók;3760,162602;3982,012195
Felületképzés;5691,056911;6026,829268
Konyhabútor, beépített szekrény;5528,455285;5854,634146
Elektromosság;11178,86179;11838,41463
Épületautomatika (csengő, kaputelefon;2134,146341;2260,060976
Vízhálózat cseréje;5792,682927;6134,45122
Gépészeti szerelvények (fütési rendszer, szaniterek);10934,95935;11580,12195
Szárazépítés;1563,302752;1655,537615
Burkolás;11614,6789;12299,94495
Fa-és műanyag nyílászárók (külső-belső);20990,82569;22229,2844
Bejárati ajtók;3394,495413;3594,770642
Felületképzés;5889,908257;6237,412844
Konyhabútor, beépített szekrény;6422,018349;6800,917431
Elektromosság;11614,6789;12299,94495
Épületautomatika (csengő, kaputelefon;1926,605505;2040,275229
Vízhálózat cseréje;5761,46789;6101,394495
Gépészeti szerelvények (fütési rendszer, szaniterek);9706,422018;10279,10092
Szárazépítés;1527,703066;1617,837547
Burkolás;11655,01166;12342,65734
Fa-és műanyag nyílászárók (külső-belső);14523,9376;15380,84992
Bejárati ajtók;3317,195625;3512,910167
Felületképzés;6652,322037;7044,809037
